scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,cultivarEpithet,nomStatus,authorship,bracketAuthorship,strain,notho
Prasophyllum robustum,SCIENTIFIC,Prasophyllum,robustum,True,False,Prasophyllum robustum,Prasophyllum robustum,Prasophyllum robustum,sp.,,,,,,,
Prasophyllum sp. Wybong (C.Phelps ORG 5269),INFORMAL,Prasophyllum,,True,False,Prasophyllum spec.,Prasophyllum spec. Wybong,Prasophyllum spec. Wybong,sp.,,,,,,Wybong,
Prasophyllum stellatum,SCIENTIFIC,Prasophyllum,stellatum,True,False,Prasophyllum stellatum,Prasophyllum stellatum,Prasophyllum stellatum,sp.,,,,,,,
Prasophyllum taphanyx,SCIENTIFIC,Prasophyllum,taphanyx,True,False,Prasophyllum taphanyx,Prasophyllum taphanyx,Prasophyllum taphanyx,sp.,,,,,,,
Prasophyllum uvidulum,SCIENTIFIC,Prasophyllum,uvidulum,True,False,Prasophyllum uvidulum,Prasophyllum uvidulum,Prasophyllum uvidulum,sp.,,,,,,,
Prostanthera albohirta,SCIENTIFIC,Prostanthera,albohirta,True,False,Prostanthera albohirta,Prostanthera albohirta,Prostanthera albohirta,sp.,,,,,,,
Prostanthera clotteniana,SCIENTIFIC,Prostanthera,clotteniana,True,False,Prostanthera clotteniana,Prostanthera clotteniana,Prostanthera clotteniana,sp.,,,,,,,
Prostanthera gilesii,SCIENTIFIC,Prostanthera,gilesii,True,False,Prostanthera gilesii,Prostanthera gilesii,Prostanthera gilesii,sp.,,,,,,,
Prostanthera marifolia,SCIENTIFIC,Prostanthera,marifolia,True,False,Prostanthera marifolia,Prostanthera marifolia,Prostanthera marifolia,sp.,,,,,,,
Prostanthera palustris,SCIENTIFIC,Prostanthera,palustris,True,False,Prostanthera palustris,Prostanthera palustris,Prostanthera palustris,sp.,,,,,,,
Prostanthera staurophylla,SCIENTIFIC,Prostanthera,staurophylla,True,False,Prostanthera staurophylla,Prostanthera staurophylla,Prostanthera staurophylla,sp.,,,,,,,
Pterostylis bryophila,SCIENTIFIC,Pterostylis,bryophila,True,False,Pterostylis bryophila,Pterostylis bryophila,Pterostylis bryophila,sp.,,,,,,,
Pterostylis commutata,SCIENTIFIC,Pterostylis,commutata,True,False,Pterostylis commutata,Pterostylis commutata,Pterostylis commutata,sp.,,,,,,,
Pterostylis oreophila,SCIENTIFIC,Pterostylis,oreophila,True,False,Pterostylis oreophila,Pterostylis oreophila,Pterostylis oreophila,sp.,,,,,,,
Pterostylis psammophila,SCIENTIFIC,Pterostylis,psammophila,True,False,Pterostylis psammophila,Pterostylis psammophila,Pterostylis psammophila,sp.,,,,,,,
Pterostylis valida,SCIENTIFIC,Pterostylis,valida,True,False,Pterostylis valida,Pterostylis valida,Pterostylis valida,sp.,,,,,,,
Pterostylis vernalis,SCIENTIFIC,Pterostylis,vernalis,True,False,Pterostylis vernalis,Pterostylis vernalis,Pterostylis vernalis,sp.,,,,,,,
Pterostylis wapstrarum,SCIENTIFIC,Pterostylis,wapstrarum,True,False,Pterostylis wapstrarum,Pterostylis wapstrarum,Pterostylis wapstrarum,sp.,,,,,,,
Ptilotus pyramidatus,SCIENTIFIC,Ptilotus,pyramidatus,True,False,Ptilotus pyramidatus,Ptilotus pyramidatus,Ptilotus pyramidatus,sp.,,,,,,,
Pultenaea sp. Genowlan Point (NSW 417813) = Pultenaea praecipua subsp. praecipua,INFORMAL,Pultenaea,sp.Genowlan,True,True,Pultenaea sp.Genowlan,Pultenaea sp.Genowlan,Pultenaea sp.Genowlan,sp.,,,,,,,
Reedia spathacea,SCIENTIFIC,Reedia,spathacea,True,False,Reedia spathacea,Reedia spathacea,Reedia spathacea,sp.,,,,,,,
Rhizanthella gardneri,SCIENTIFIC,Rhizanthella,gardneri,True,False,Rhizanthella gardneri,Rhizanthella gardneri,Rhizanthella gardneri,sp.,,,,,,,
Rhizanthella johnstonii,SCIENTIFIC,Rhizanthella,johnstonii,True,False,Rhizanthella johnstonii,Rhizanthella johnstonii,Rhizanthella johnstonii,sp.,,,,,,,
Rhodamnia angustifolia,SCIENTIFIC,Rhodamnia,angustifolia,True,False,Rhodamnia angustifolia,Rhodamnia angustifolia,Rhodamnia angustifolia,sp.,,,,,,,
Rhodamnia longisepala,SCIENTIFIC,Rhodamnia,longisepala,True,False,Rhodamnia longisepala,Rhodamnia longisepala,Rhodamnia longisepala,sp.,,,,,,,
Rhodamnia maideniana,SCIENTIFIC,Rhodamnia,maideniana,True,False,Rhodamnia maideniana,Rhodamnia maideniana,Rhodamnia maideniana,sp.,,,,,,,
Rhodamnia rubescens,SCIENTIFIC,Rhodamnia,rubescens,True,False,Rhodamnia rubescens,Rhodamnia rubescens,Rhodamnia rubescens,sp.,,,,,,,
Rhodomyrtus psidioides,SCIENTIFIC,Rhodomyrtus,psidioides,True,False,Rhodomyrtus psidioides,Rhodomyrtus psidioides,Rhodomyrtus psidioides,sp.,,,,,,,
Scaevola macrophylla,SCIENTIFIC,Scaevola,macrophylla,True,False,Scaevola macrophylla,Scaevola macrophylla,Scaevola macrophylla,sp.,,,,,,,
Seringia exastia,SCIENTIFIC,Seringia,exastia,True,False,Seringia exastia,Seringia exastia,Seringia exastia,sp.,,,,,,,
Solanum orgadophilum,SCIENTIFIC,Solanum,orgadophilum,True,False,Solanum orgadophilum,Solanum orgadophilum,Solanum orgadophilum,sp.,,,,,,,
Sphaerolobium acanthos,SCIENTIFIC,Sphaerolobium,acanthos,True,False,Sphaerolobium acanthos,Sphaerolobium acanthos,Sphaerolobium acanthos,sp.,,,,,,,
Spyridium fontis-woodii,SCIENTIFIC,Spyridium,fontis-woodii,True,False,Spyridium fontis-woodii,Spyridium fontis-woodii,Spyridium fontis-woodii,sp.,,,,,,,
Stylidium amabile,SCIENTIFIC,Stylidium,amabile,True,False,Stylidium amabile,Stylidium amabile,Stylidium amabile,sp.,,,,,,,
Stylidium applanatum,SCIENTIFIC,Stylidium,applanatum,True,False,Stylidium applanatum,Stylidium applanatum,Stylidium applanatum,sp.,,,,,,,
Stylidium semaphorum,SCIENTIFIC,Stylidium,semaphorum,True,False,Stylidium semaphorum,Stylidium semaphorum,Stylidium semaphorum,sp.,,,,,,,
Styphelia longissima,SCIENTIFIC,Styphelia,longissima,True,False,Styphelia longissima,Styphelia longissima,Styphelia longissima,sp.,,,,,,,
Synaphea sp. Fairbridge Farm (D.Papenfus 696),INFORMAL,Synaphea,,True,False,Synaphea spec.,Synaphea spec. Fairbridge Farm,Synaphea spec. Fairbridge Farm,sp.,,,,,,Fairbridge Farm,
Synaphea sp. Pinjarra (R.Davis 6578),INFORMAL,Synaphea,,True,False,Synaphea spec.,Synaphea spec. Pinjarra,Synaphea spec. Pinjarra,sp.,,,,,,Pinjarra,
Synaphea sp. Serpentine (G.R.Brand 103),INFORMAL,Synaphea,,True,False,Synaphea spec.,Synaphea spec. Serpentine,Synaphea spec. Serpentine,sp.,,,,,,Serpentine,
Tetratheca gunnii,SCIENTIFIC,Tetratheca,gunnii,True,False,Tetratheca gunnii,Tetratheca gunnii,Tetratheca gunnii,sp.,,,,,,,
Tetratheca nephelioides,SCIENTIFIC,Tetratheca,nephelioides,True,False,Tetratheca nephelioides,Tetratheca nephelioides,Tetratheca nephelioides,sp.,,,,,,,
Thelymitra adorata,SCIENTIFIC,Thelymitra,adorata,True,False,Thelymitra adorata,Thelymitra adorata,Thelymitra adorata,sp.,,,,,,,
Thelymitra cyanapicata,SCIENTIFIC,Thelymitra,cyanapicata,True,False,Thelymitra cyanapicata,Thelymitra cyanapicata,Thelymitra cyanapicata,sp.,,,,,,,
Thelymitra hygrophila,SCIENTIFIC,Thelymitra,hygrophila,True,False,Thelymitra hygrophila,Thelymitra hygrophila,Thelymitra hygrophila,sp.,,,,,,,
Thelymitra kangaloonica,SCIENTIFIC,Thelymitra,kangaloonica,True,False,Thelymitra kangaloonica,Thelymitra kangaloonica,Thelymitra kangaloonica,sp.,,,,,,,
Thelymitra orientalis,SCIENTIFIC,Thelymitra,orientalis,True,False,Thelymitra orientalis,Thelymitra orientalis,Thelymitra orientalis,sp.,,,,,,,
Thynninorchis nothofagicola,SCIENTIFIC,Thynninorchis,nothofagicola,True,False,Thynninorchis nothofagicola,Thynninorchis nothofagicola,Thynninorchis nothofagicola,sp.,,,,,,,
Veronica derwentiana subsp. homalodonta,SCIENTIFIC,Veronica,derwentiana,True,False,Veronica derwentiana homalodonta,Veronica derwentiana subsp. homalodonta,Veronica derwentiana subsp. homalodonta,subsp.,homalodonta,,,,,,
Verticordia apecta,SCIENTIFIC,Verticordia,apecta,True,False,Verticordia apecta,Verticordia apecta,Verticordia apecta,sp.,,,,,,,
Wikstroemia australis,SCIENTIFIC,Wikstroemia,australis,True,False,Wikstroemia australis,Wikstroemia australis,Wikstroemia australis,sp.,,,,,,,
Wollemia nobilis,SCIENTIFIC,Wollemia,nobilis,True,False,Wollemia nobilis,Wollemia nobilis,Wollemia nobilis,sp.,,,,,,,
Zieria adenophora,SCIENTIFIC,Zieria,adenophora,True,False,Zieria adenophora,Zieria adenophora,Zieria adenophora,sp.,,,,,,,
Zieria buxijugum,SCIENTIFIC,Zieria,buxijugum,True,False,Zieria buxijugum,Zieria buxijugum,Zieria buxijugum,sp.,,,,,,,
Zieria exsul,SCIENTIFIC,Zieria,exsul,True,False,Zieria exsul,Zieria exsul,Zieria exsul,sp.,,,,,,,
Zieria odorifera subsp. warrabahensis,SCIENTIFIC,Zieria,odorifera,True,False,Zieria odorifera warrabahensis,Zieria odorifera subsp. warrabahensis,Zieria odorifera subsp. warrabahensis,subsp.,warrabahensis,,,,,,
Zieria parrisiae,SCIENTIFIC,Zieria,parrisiae,True,False,Zieria parrisiae,Zieria parrisiae,Zieria parrisiae,sp.,,,,,,,
Acacia aprica,SCIENTIFIC,Acacia,aprica,True,False,Acacia aprica,Acacia aprica,Acacia aprica,sp.,,,,,,,
Acacia aristulata,SCIENTIFIC,Acacia,aristulata,True,False,Acacia aristulata,Acacia aristulata,Acacia aristulata,sp.,,,,,,,
Acacia ataxiphylla subsp. magna,SCIENTIFIC,Acacia,ataxiphylla,True,False,Acacia ataxiphylla magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,subsp.,magna,,,,,,
Acacia auratiflora,SCIENTIFIC,Acacia,auratiflora,True,False,Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,sp.,,,,,,,
Acacia baueri subsp. aspera,SCIENTIFIC,Acacia,baueri,True,False,Acacia baueri aspera,Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,subsp.,aspera,,,,,,
Acacia brachypoda,SCIENTIFIC,Acacia,brachypoda,True,False,Acacia brachypoda,Acacia brachypoda,Acacia brachypoda,sp.,,,,,,,
Acacia chapmanii subsp. australis,SCIENTIFIC,Acacia,chapmanii,True,False,Acacia chapmanii australis,Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,subsp.,australis,,,,,,
Acacia cochlocarpa subsp. cochlocarpa,SCIENTIFIC,Acacia,cochlocarpa,True,False,Acacia cochlocarpa cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,subsp.,cochlocarpa,,,,,,
Acacia cretacea,SCIENTIFIC,Acacia,cretacea,True,False,Acacia cretacea,Acacia cretacea,Acacia cretacea,sp.,,,,,,,
Acacia enterocarpa,SCIENTIFIC,Acacia,enterocarpa,True,False,Acacia enterocarpa,Acacia enterocarpa,Acacia enterocarpa,sp.,,,,,,,
Acacia gordonii,SCIENTIFIC,Acacia,gordonii,True,False,Acacia gordonii,Acacia gordonii,Acacia gordonii,sp.,,,,,,,
Acacia imitans,SCIENTIFIC,Acacia,imitans,True,False,Acacia imitans,Acacia imitans,Acacia imitans,sp.,,,,,,,
Acacia insolita subsp. recurva,SCIENTIFIC,Acacia,insolita,True,False,Acacia insolita recurva,Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,subsp.,recurva,,,,,,
Acacia lanigera var. gracilipes,SCIENTIFIC,Acacia,lanigera,True,False,Acacia lanigera gracilipes,Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,var.,gracilipes,,,,,,
Acacia lanuginophylla,SCIENTIFIC,Acacia,lanuginophylla,True,False,Acacia lanuginophylla,Acacia lanuginophylla,Acacia lanuginophylla,sp.,,,,,,,
Acacia leptalea,SCIENTIFIC,Acacia,leptalea,True,False,Acacia leptalea,Acacia leptalea,Acacia leptalea,sp.,,,,,,,
Acacia lobulata,SCIENTIFIC,Acacia,lobulata,True,False,Acacia lobulata,Acacia lobulata,Acacia lobulata,sp.,,,,,,,
Acacia meiantha,SCIENTIFIC,Acacia,meiantha,True,False,Acacia meiantha,Acacia meiantha,Acacia meiantha,sp.,,,,,,,
Acacia pharangites,SCIENTIFIC,Acacia,pharangites,True,False,Acacia pharangites,Acacia pharangites,Acacia pharangites,sp.,,,,,,,
Acacia pinguifolia,SCIENTIFIC,Acacia,pinguifolia,True,False,Acacia pinguifolia,Acacia pinguifolia,Acacia pinguifolia,sp.,,,,,,,
Acacia porcata,SCIENTIFIC,Acacia,porcata,True,False,Acacia porcata,Acacia porcata,Acacia porcata,sp.,,,,,,,
Acacia pygmaea,SCIENTIFIC,Acacia,pygmaea,True,False,Acacia pygmaea,Acacia pygmaea,Acacia pygmaea,sp.,,,,,,,
Acacia recurvata,SCIENTIFIC,Acacia,recurvata,True,False,Acacia recurvata,Acacia recurvata,Acacia recurvata,sp.,,,,,,,
Acacia rhamphophylla,SCIENTIFIC,Acacia,rhamphophylla,True,False,Acacia rhamphophylla,Acacia rhamphophylla,Acacia rhamphophylla,sp.,,,,,,,
Acacia ruppii,SCIENTIFIC,Acacia,ruppii,True,False,Acacia ruppii,Acacia ruppii,Acacia ruppii,sp.,,,,,,,
Acacia sciophanes,SCIENTIFIC,Acacia,sciophanes,True,False,Acacia sciophanes,Acacia sciophanes,Acacia sciophanes,sp.,,,,,,,
Acacia spilleriana,SCIENTIFIC,Acacia,spilleriana,True,False,Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,sp.,,,,,,,
Acacia splendens,SCIENTIFIC,Acacia,splendens,True,False,Acacia splendens,Acacia splendens,Acacia splendens,sp.,,,,,,,
Acacia subflexuosa subsp. capillata,SCIENTIFIC,Acacia,subflexuosa,True,False,Acacia subflexuosa capillata,Acacia subflexuosa subsp. capillata,Acacia subflexuosa subsp. capillata,subsp.,capillata,,,,,,
Acacia terminalis subsp. terminalis MS = Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126),INFORMAL,Acacia,terminalis,True,True,Acacia terminalis subsp.,Acacia terminalis subsp.,Acacia terminalis subsp.,subsp.,,,,,,,
Acacia vassalii,SCIENTIFIC,Acacia,vassalii,True,False,Acacia vassalii,Acacia vassalii,Acacia vassalii,sp.,,,,,,,
Acacia volubilis,SCIENTIFIC,Acacia,volubilis,True,False,Acacia volubilis,Acacia volubilis,Acacia volubilis,sp.,,,,,,,
Acacia whibleyana,SCIENTIFIC,Acacia,whibleyana,True,False,Acacia whibleyana,Acacia whibleyana,Acacia whibleyana,sp.,,,,,,,
Acacia wilsonii,SCIENTIFIC,Acacia,wilsonii,True,False,Acacia wilsonii,Acacia wilsonii,Acacia wilsonii,sp.,,,,,,,
Acacia woodmaniorum,SCIENTIFIC,Acacia,woodmaniorum,True,False,Acacia woodmaniorum,Acacia woodmaniorum,Acacia woodmaniorum,sp.,,,,,,,
Acronychia littoralis,SCIENTIFIC,Acronychia,littoralis,True,False,Acronychia littoralis,Acronychia littoralis,Acronychia littoralis,sp.,,,,,,,
Adenanthos dobagii,SCIENTIFIC,Adenanthos,dobagii,True,False,Adenanthos dobagii,Adenanthos dobagii,Adenanthos dobagii,sp.,,,,,,,
Adenanthos eyrei,SCIENTIFIC,Adenanthos,eyrei,True,False,Adenanthos eyrei,Adenanthos eyrei,Adenanthos eyrei,sp.,,,,,,,
Adenanthos pungens subsp. effusus,SCIENTIFIC,Adenanthos,pungens,True,False,Adenanthos pungens effusus,Adenanthos pungens subsp. effusus,Adenanthos pungens subsp. effusus,subsp.,effusus,,,,,,
Adenanthos velutinus,SCIENTIFIC,Adenanthos,velutinus,True,False,Adenanthos velutinus,Adenanthos velutinus,Adenanthos velutinus,sp.,,,,,,,
Alectryon ramiflorus,SCIENTIFIC,Alectryon,ramiflorus,True,False,Alectryon ramiflorus,Alectryon ramiflorus,Alectryon ramiflorus,sp.,,,,,,,
Allocasuarina defungens,SCIENTIFIC,Allocasuarina,defungens,True,False,Allocasuarina defungens,Allocasuarina defungens,Allocasuarina defungens,sp.,,,,,,,
Allocasuarina emuina,SCIENTIFIC,Allocasuarina,emuina,True,False,Allocasuarina emuina,Allocasuarina emuina,Allocasuarina emuina,sp.,,,,,,,
Allocasuarina glareicola,SCIENTIFIC,Allocasuarina,glareicola,True,False,Allocasuarina glareicola,Allocasuarina glareicola,Allocasuarina glareicola,sp.,,,,,,,
Allocasuarina portuensis,SCIENTIFIC,Allocasuarina,portuensis,True,False,Allocasuarina portuensis,Allocasuarina portuensis,Allocasuarina portuensis,sp.,,,,,,,
Allocasuarina robusta,SCIENTIFIC,Allocasuarina,robusta,True,False,Allocasuarina robusta,Allocasuarina robusta,Allocasuarina robusta,sp.,,,,,,,
Allocasuarina thalassoscopica,SCIENTIFIC,Allocasuarina,thalassoscopica,True,False,Allocasuarina thalassoscopica,Allocasuarina thalassoscopica,Allocasuarina thalassoscopica,sp.,,,,,,,
Almaleea cambagei,SCIENTIFIC,Almaleea,cambagei,True,False,Almaleea cambagei,Almaleea cambagei,Almaleea cambagei,sp.,,,,,,,
Amyema plicatula,SCIENTIFIC,Amyema,plicatula,True,False,Amyema plicatula,Amyema plicatula,Amyema plicatula,sp.,,,,,,,
Andersonia gracilis,SCIENTIFIC,Andersonia,gracilis,True,False,Andersonia gracilis,Andersonia gracilis,Andersonia gracilis,sp.,,,,,,,
Androcalva perlaria,SCIENTIFIC,Androcalva,perlaria,True,False,Androcalva perlaria,Androcalva perlaria,Androcalva perlaria,sp.,,,,,,,
Androcalva rosea,SCIENTIFIC,Androcalva,rosea,True,False,Androcalva rosea,Androcalva rosea,Androcalva rosea,sp.,,,,,,,
Anigozanthos bicolor subsp. minor,SCIENTIFIC,Anigozanthos,bicolor,True,False,Anigozanthos bicolor minor,Anigozanthos bicolor subsp. minor,Anigozanthos bicolor subsp. minor,subsp.,minor,,,,,,
Aponogeton bullosus,SCIENTIFIC,Aponogeton,bullosus,True,False,Aponogeton bullosus,Aponogeton bullosus,Aponogeton bullosus,sp.,,,,,,,
Aponogeton prolifer,SCIENTIFIC,Aponogeton,prolifer,True,False,Aponogeton prolifer,Aponogeton prolifer,Aponogeton prolifer,sp.,,,,,,,
Archontophoenix myolensis,SCIENTIFIC,Archontophoenix,myolensis,True,False,Archontophoenix myolensis,Archontophoenix myolensis,Archontophoenix myolensis,sp.,,,,,,,
Aristida granitica,SCIENTIFIC,Aristida,granitica,True,False,Aristida granitica,Aristida granitica,Aristida granitica,sp.,,,,,,,
Asterolasia elegans,SCIENTIFIC,Asterolasia,elegans,True,False,Asterolasia elegans,Asterolasia elegans,Asterolasia elegans,sp.,,,,,,,
Astrotricha roddii,SCIENTIFIC,Astrotricha,roddii,True,False,Astrotricha roddii,Astrotricha roddii,Astrotricha roddii,sp.,,,,,,,
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),INFORMAL,Astrotricha,,True,False,Astrotricha spec.,Astrotricha spec. Wingan Inlet,Astrotricha spec. Wingan Inlet,sp.,,,,,,Wingan Inlet,
Atalaya collina,SCIENTIFIC,Atalaya,collina,True,False,Atalaya collina,Atalaya collina,Atalaya collina,sp.,,,,,,,
Atriplex yeelirrie,SCIENTIFIC,Atriplex,yeelirrie,True,False,Atriplex yeelirrie,Atriplex yeelirrie,Atriplex yeelirrie,sp.,,,,,,,
Austrostipa bronwenae = Austrostipa bronweniae,DOUBTFUL,Austrostipa,bronwenae,True,False,Austrostipa bronwenae bronweniae,Austrostipa bronwenae bronweniae,Austrostipa bronwenae bronweniae,infrasp.,bronweniae,,,,,,
Austrostipa wakoolica,SCIENTIFIC,Austrostipa,wakoolica,True,False,Austrostipa wakoolica,Austrostipa wakoolica,Austrostipa wakoolica,sp.,,,,,,,
Baeckea kandos,SCIENTIFIC,Baeckea,kandos,True,False,Baeckea kandos,Baeckea kandos,Baeckea kandos,sp.,,,,,,,
Ballantinia antipoda,SCIENTIFIC,Ballantinia,antipoda,True,False,Ballantinia antipoda,Ballantinia antipoda,Ballantinia antipoda,sp.,,,,,,,
Banksia cuneata,SCIENTIFIC,Banksia,cuneata,True,False,Banksia cuneata,Banksia cuneata,Banksia cuneata,sp.,,,,,,,
Banksia ionthocarpa,SCIENTIFIC,Banksia,ionthocarpa,True,False,Banksia ionthocarpa,Banksia ionthocarpa,Banksia ionthocarpa,sp.,,,,,,,
Banksia mimica,SCIENTIFIC,Banksia,mimica,True,False,Banksia mimica,Banksia mimica,Banksia mimica,sp.,,,,,,,
Banksia nivea subsp. uliginosa,SCIENTIFIC,Banksia,nivea,True,False,Banksia nivea uliginosa,Banksia nivea subsp. uliginosa,Banksia nivea subsp. uliginosa,subsp.,uliginosa,,,,,,
Banksia oligantha,SCIENTIFIC,Banksia,oligantha,True,False,Banksia oligantha,Banksia oligantha,Banksia oligantha,sp.,,,,,,,
Banksia pseudoplumosa,SCIENTIFIC,Banksia,pseudoplumosa,True,False,Banksia pseudoplumosa,Banksia pseudoplumosa,Banksia pseudoplumosa,sp.,,,,,,,
Banksia rufa subsp. pumila,SCIENTIFIC,Banksia,rufa,True,False,Banksia rufa pumila,Banksia rufa subsp. pumila,Banksia rufa subsp. pumila,subsp.,pumila,,,,,,
Barbarea australis,SCIENTIFIC,Barbarea,australis,True,False,Barbarea australis,Barbarea australis,Barbarea australis,sp.,,,,,,,
Bertya granitica,SCIENTIFIC,Bertya,granitica,True,False,Bertya granitica,Bertya granitica,Bertya granitica,sp.,,,,,,,
Bertya ingramii,SCIENTIFIC,Bertya,ingramii,True,False,Bertya ingramii,Bertya ingramii,Bertya ingramii,sp.,,,,,,,
Bertya mollissima,SCIENTIFIC,Bertya,mollissima,True,False,Bertya mollissima,Bertya mollissima,Bertya mollissima,sp.,,,,,,,
Bertya sp. Clouds Creek (M.Fatemi 4),INFORMAL,Bertya,,True,False,Bertya spec.,Bertya spec. Clouds Creek,Bertya spec. Clouds Creek,sp.,,,,,,Clouds Creek,
Bertya tasmanica subsp. tasmanica,SCIENTIFIC,Bertya,tasmanica,True,False,Bertya tasmanica tasmanica,Bertya tasmanica subsp. tasmanica,Bertya tasmanica subsp. tasmanica,subsp.,tasmanica,,,,,,
Beyeria lepidopetala,SCIENTIFIC,Beyeria,lepidopetala,True,False,Beyeria lepidopetala,Beyeria lepidopetala,Beyeria lepidopetala,sp.,,,,,,,
Blechnum norfolkianum,SCIENTIFIC,Blechnum,norfolkianum,True,False,Blechnum norfolkianum,Blechnum norfolkianum,Blechnum norfolkianum,sp.,,,,,,,
Boronia capitata subsp. capitata,SCIENTIFIC,Boronia,capitata,True,False,Boronia capitata capitata,Boronia capitata subsp. capitata,Boronia capitata subsp. capitata,subsp.,capitata,,,,,,
Boronia clavata,SCIENTIFIC,Boronia,clavata,True,False,Boronia clavata,Boronia clavata,Boronia clavata,sp.,,,,,,,
Boronia exilis,SCIENTIFIC,Boronia,exilis,True,False,Boronia exilis,Boronia exilis,Boronia exilis,sp.,,,,,,,
Boronia granitica,SCIENTIFIC,Boronia,granitica,True,False,Boronia granitica,Boronia granitica,Boronia granitica,sp.,,,,,,,
Boronia repanda,SCIENTIFIC,Boronia,repanda,True,False,Boronia repanda,Boronia repanda,Boronia repanda,sp.,,,,,,,
Boronia revoluta,SCIENTIFIC,Boronia,revoluta,True,False,Boronia revoluta,Boronia revoluta,Boronia revoluta,sp.,,,,,,,
Borya mirabilis,SCIENTIFIC,Borya,mirabilis,True,False,Borya mirabilis,Borya mirabilis,Borya mirabilis,sp.,,,,,,,
Bossiaea peninsularis,SCIENTIFIC,Bossiaea,peninsularis,True,False,Bossiaea peninsularis,Bossiaea peninsularis,Bossiaea peninsularis,sp.,,,,,,,
Bossiaea sp. Frankland (E.M.Sandiford EMS 896),INFORMAL,Bossiaea,,True,False,Bossiaea spec.,Bossiaea spec. Frankland,Bossiaea spec. Frankland,sp.,,,,,,Frankland,
Brachyscome muelleri,SCIENTIFIC,Brachyscome,muelleri,True,False,Brachyscome muelleri,Brachyscome muelleri,Brachyscome muelleri,sp.,,,,,,,
Burmannia sp. Bathurst Island (R.Fensham 1021) = Burmannia championii,INFORMAL,Burmannia,sp.Bathurst,True,True,Burmannia sp.Bathurst,Burmannia sp.Bathurst,Burmannia sp.Bathurst,sp.,,,,,,,
Caladenia amoena,SCIENTIFIC,Caladenia,amoena,True,False,Caladenia amoena,Caladenia amoena,Caladenia amoena,sp.,,,,,,,
Caladenia arenaria,SCIENTIFIC,Caladenia,arenaria,True,False,Caladenia arenaria,Caladenia arenaria,Caladenia arenaria,sp.,,,,,,,
Caladenia argocalla,SCIENTIFIC,Caladenia,argocalla,True,False,Caladenia argocalla,Caladenia argocalla,Caladenia argocalla,sp.,,,,,,,
Caladenia atroclavia,SCIENTIFIC,Caladenia,atroclavia,True,False,Caladenia atroclavia,Caladenia atroclavia,Caladenia atroclavia,sp.,,,,,,,
Caladenia audasii,SCIENTIFIC,Caladenia,audasii,True,False,Caladenia audasii,Caladenia audasii,Caladenia audasii,sp.,,,,,,,
Caladenia barbarella,SCIENTIFIC,Caladenia,barbarella,True,False,Caladenia barbarella,Caladenia barbarella,Caladenia barbarella,sp.,,,,,,,
Caladenia behrii,SCIENTIFIC,Caladenia,behrii,True,False,Caladenia behrii,Caladenia behrii,Caladenia behrii,sp.,,,,,,,
Caladenia bryceana subsp. bryceana,SCIENTIFIC,Caladenia,bryceana,True,False,Caladenia bryceana bryceana,Caladenia bryceana subsp. bryceana,Caladenia bryceana subsp. bryceana,subsp.,bryceana,,,,,,
Caladenia busselliana,SCIENTIFIC,Caladenia,busselliana,True,False,Caladenia busselliana,Caladenia busselliana,Caladenia busselliana,sp.,,,,,,,
Caladenia caesarea subsp. maritima,SCIENTIFIC,Caladenia,caesarea,True,False,Caladenia caesarea maritima,Caladenia caesarea subsp. maritima,Caladenia caesarea subsp. maritima,subsp.,maritima,,,,,,
Caladenia colorata,SCIENTIFIC,Caladenia,colorata,True,False,Caladenia colorata,Caladenia colorata,Caladenia colorata,sp.,,,,,,,
Caladenia conferta,SCIENTIFIC,Caladenia,conferta,True,False,Caladenia conferta,Caladenia conferta,Caladenia conferta,sp.,,,,,,,
Caladenia dienema,SCIENTIFIC,Caladenia,dienema,True,False,Caladenia dienema,Caladenia dienema,Caladenia dienema,sp.,,,,,,,
Caladenia dorrienii,SCIENTIFIC,Caladenia,dorrienii,True,False,Caladenia dorrienii,Caladenia dorrienii,Caladenia dorrienii,sp.,,,,,,,
Caladenia drakeoides,SCIENTIFIC,Caladenia,drakeoides,True,False,Caladenia drakeoides,Caladenia drakeoides,Caladenia drakeoides,sp.,,,,,,,
Caladenia elegans,SCIENTIFIC,Caladenia,elegans,True,False,Caladenia elegans,Caladenia elegans,Caladenia elegans,sp.,,,,,,,
Caladenia excelsa,SCIENTIFIC,Caladenia,excelsa,True,False,Caladenia excelsa,Caladenia excelsa,Caladenia excelsa,sp.,,,,,,,
Caladenia fulva,SCIENTIFIC,Caladenia,fulva,True,False,Caladenia fulva,Caladenia fulva,Caladenia fulva,sp.,,,,,,,
